Identifiant;CUM360;GAS360;Category;Anonymised PROD_DT;Anonymised COMP_DT;Anonymised SPUD_DT;Anonymised X Coordinate;Anonymised Y Coordinate;Avg(LATERAL_LENGTH) for;Avg(TOTAL_TVD) for;Avg(TOTAL_MD) for;production Days;Avg(ISIP_(Instant_Shut-in_Pressure_psi)) for;Sum(Total_Clean_Volume_Pumped_(bbl)) for;Avg(Frac_Gradient_(psi/ft)) for;Avg(Breakdown_Pressure_(psi)) for;Avg(Final_(Post_Treatment_Shut-in_Pressure_psi)) for;Avg(Pre_Treatment_Shut-in_Pressure_(psi)) for;Avg(Min_ reat_Rate_(bpm)) for;Avg(Max_Treat_Rate_(bpm)) for;Avg(Avg_Treat_Rate_(bpm)) for;Avg(Min_Treat_Pressure_(psi)) for;Avg(Max_Treat_Pressure_(psi)) for;Avg(Avg_Treat_Pressure_(psi)) for;Sum(Proppant_In Formation (lb)) for;Avg(Entered_ Shot_ Total) for;Avg(Shot_ Density_ shots/ft) for;Avg(Stage_ Length_(Calculated Field)) for;Avg(Total_ No_ of Perfs) for;Avg(NO_ of_ STAGES) for;Avg(Vp_PT_PLEASANT) for;Avg(VTOC_UTICA) for;Avg(GIPTOT_(bcf/section)_UTICA) for;Avg(SW) for;Avg(PAYFLAG_(NTG)) for;Avg(YOUNG'S_MODULUS_PT_PLEASANT) for;Avg(POISSON_RATIO_PT_PLEASANT) for;Avg(FRACTURE_TOUGHNESS) for;Avg(GIPTOT_(bcf/section)_PT_PLEASANT) for;Avg(NPHI_PT_PLEASANT) for;Avg(THICKNESS_PT_PLEASANT) for;Avg(MATURITY_PT_ PLEASANT) for;Avg(UPLIFT_MAGNITUDE_ PT_PLEASANT) for;Avg(MAX_DEPTH_BURIAL_PT_PLEASANT) for;Avg(TEMP_ANAMOLY_PT_PLEASANT) for;Avg(TEMP_PT_PLEASANT) for;Avg(VS_PT_PLEASANT) for;Avg(MHS_PT_PLEASANT_(Min_Horz_Stress)) for;Avg(RESISTIVITY_PT_PLEASANT) for;Avg(GR_PT_PLEASANT) for;Avg(VCLAY_UTICA) for;Avg(VTOC_PT_PLEASANT) for;Avg(VCARB_PT_PLEASANT) for;Avg(VCLAY_PT_PLEASANT) for;Avg(POROSITY FROM DENSITY LOGS) for;Surf X             SP OH-N 27;Surf Y             SP OH-N 27;Proppant per foot;Clusters;Cluster spacing
11;-0,095314813;-0,21803422;0H;14597;14597;14403;-0,547890733;0,139189186;-0,332071358;0,591249323;-0,132788341;1,201233519;0,33077215;-1,016370117;0,372583741;-0,513203555;0,45402575;-0,068094699;0,211885435;0,212248284;0,121765664;0,475843011;0,436587452;0,634922369;0,124392499;-0,782282835;0,903567949;-0,04720212;-0,683424981;-1,367098373;0,626634886;-0,129409084;-0,638405447;-0,094088392;0,327108612;-0,548231942;0,748052349;-0,383348131;1,160557757;-1,396604983;-0,460169864;0,832020501;0,305136256;0,848858531;-0,265562427;0,177382042;0,626634886;-1,113166814;0,073258828;-0,286517587;0,517157831;0,312153706;0,797578087;-0,122123583;0,444367357;-0,21033117;-0,735048043;0,569184783;1,473146985;-0,179492362
12;-0,095940978;0,307720503;8H;14193;14182;13923;-1,420640725;0,665508732;3,919260087;1,324750208;4,952559734;-2,24442257;0,83358532;7,092194761;0,875207413;2,887189064;1,077426504;1,360731544;-2,219809578;-2,530276846;-2,76504744;1,263413215;1,490858518;1,488111135;6,923712215;-0,55248503;1,052965769;-0,320306373;4,761777738;3,792774271;2,847891516;-0,680345158;-3,092563223;6,053800287;-2,720521123;-0,683854193;-0,957972363;1,145099994;-0,742881413;-0,334675815;-1,708909473;1,1444612;-0,467823893;0,563054655;0,689703139;1,128574527;2,847891516;-2,241653606;-1,204077575;0,068083633;3,62870203;0,574263272;0,526632718;1,498745187;-1,118033745;-0,414612048;-1,786577426;3,727540616;-0,573514737;-0,262575439
13;0,424407922;0,248716757;3H;14065;14065;13815;1,028408866;0,984724749;-1,349570117;0,067320119;-1,20789889;0,852902166;0,239025358;-1,38506225;-0,464056471;0,60371933;0,250945195;-1,124779136;0,079437854;0,143596094;0,092404085;0,494214571;-0,187993226;0,884537665;-0,744707806;-0,88856432;0,788407129;0,005992811;-2,192336578;-1,858514816;0,968331478;0,206971027;0,977761393;-1,019308129;0,811277114;-0,521560878;-1,894653395;-2,676387106;1,123893778;-0,85279191;0,670349955;0,460439241;-0,320193399;0,413774697;0,113550468;0,638999451;0,968331478;-0,102797867;-0,216162714;-0,578583828;0,082306577;-0,003685513;2,133234774;-1,038050825;0,72048249;1,16143557;-0,007376845;0,540174657;0,750795789;-0,10075048
14;-0,840513158;-0,887277561;6H;14682;14682;14497;-1,931042591;0,236309047;1,662629178;0,568795214;2,140732147;0,565764158;-0,573245181;2,928103293;-0,740921008;-0,104567904;-0,318387885;-0,195742926;-0,120307416;0,724393626;0,032346311;0,96062753;1,047885554;1,058546158;1,800531095;-0,729142093;0,903567949;-0,19348818;0,497462355;0,107150954;3,018868703;-1,395039252;-2,759144309;2,698092601;-0,682029109;0,683061482;-1,215100489;1,256121915;0,027813914;0,251644075;-2,367801263;0,770090291;-0,806396636;-0,233779133;-0,12672867;0,191085418;3,018868703;-1,790478497;-2,020344139;0,450133517;3,059088375;0,459463543;-1,14640955;0,404835182;-0,268554543;-1,171738678;-1,817068462;0,575562362;0,028444593;-0,193592148
15;-0,523748039;-0,602802748;6H;14046;14046;13759;-0,043573694;0,201434876;-2,417440101;0,490205834;-1,361271303;-0,370964751;0,97077204;-1,356075624;1,022816919;0,461971161;1,725494477;0,843626439;0,272244083;0,198729084;0,090556154;1,07479453;0,679161552;1,125472501;-1,840061282;0,067969042;-0,939005172;-0,319826141;-1,142658945;-0,384265489;0,489875543;-0,486489509;0,180187754;0,170260105;-0,668847339;-0,554414065;0,144005322;-0,177411209;-0,334014638;0,028034637;-0,13976903;0,72192235;-0,672351023;-0,140557842;0,089375736;0,431155334;0,489875543;-0,321307457;0,920482062;-0,279880737;0,267771934;1,401401491;-0,208551165;-0,348980264;1,107900825;0,082123261;-0,440932953;0,124273624;-0,693906603;-0,254850296
16;0,000881822;-0,131644414;5H;14771;14771;14534;-0,207780538;-0,476177981;5,788032559;-0,639984306;4,379668659;-1,284157758;-0,13958648;4,91265192;0,07874221;-0,097833986;0,030282565;0,561771158;-2,529721749;0,735953769;-0,480275856;-0,963982561;-0,569035312;-0,046987654;2,36384697;-0,782282835;0,903567949;-0,31939715;4,761777738;4,038482492;-1,065948949;-0,769616392;-0,680602513;-1,646069886;0,958159694;0,128583466;-1,215100489;1,122081273;-0,221601948;0,35595641;0,105127252;-0,251203245;-0,709998873;-1,500473929;0,513748619;-0,232586509;-1,065948949;-0,349399288;-1,663381362;0,660107255;0,154595735;-0,423941472;0,188281785;1,737620785;-0,891092149;-0,788535928;0,21812718;-1,870354638;-0,693906603;-0,254447245
17;-0,535169012;-0,613058462;1H;14350;14276;14196;0,156063701;-0,025262672;0,673674114;0,011184847;0,198014904;2,26034912;0,41241713;0,784350061;0,498748388;-1,988763242;0,64643689;-0,458943465;-1,502708701;0,204259666;-1,145878031;-1,980798747;0,390030344;-0,060044694;1,378209847;-1,632534712;-0,017718612;-0,037893007;0,366252651;-1,121390152;-0,446296316;-0,741009286;-0,662234855;-1,19954574;1,349846572;-0,876346802;0,144005322;1,578999693;0,707043374;1,032162217;0,131323538;0,041315597;-1,007243698;-1,276709305;0,400218447;0,144505926;-0,446296316;0,589675146;-0,789966569;-0,021532793;0,663065874;-1,339217712;-1,02369542;2,23514545;-0,375561261;-0,198623277;0,089755679;1,117128039;2,051027942;-0,20191398
18;-0,232788275;-0,34149643;5H;13672;13672;13328;0,081617732;0,279382672;-1,038947558;0,29934591;-0,189927084;-0,46510836;0,408293357;0,330176961;0,422235635;-0,62297388;0,43051687;1,008460958;-0,117085718;-1,932446149;-1,43306339;-0,098050187;0,043453164;-0,912421634;-0,723474237;0,067969042;-0,939005172;-0,320518783;-0,158586165;0,352859175;-0,183374412;-0,520450963;-0,533367928;-0,498872027;1,007120554;-0,556964131;0,144005322;1,125712828;0,697212352;0,674839172;0,050599651;0,384746762;-0,966876237;-0,790558419;0,230421823;0,358397167;-0,183374412;0,773406858;0,373346829;-0,637317707;0,237749161;-0,879316546;-1,120692322;0,902974398;0,336113019;0,055452583;-0,171649485;0,147053657;-0,693906603;-0,255501055
19;0,381365662;1,744483496;1H;14666;14565;14446;-0,944690611;0,968404714;7,927130609;1,414566643;8,317730932;-2,55509648;0,284138331;;-0,055910933;-1,063813651;0,989149857;0,399056443;89,7470204;636,3467248;571,0688595;0,65905562;0,576929067;1,423477143;5,96486676;-0,782282835;0,903567949;-0,314506648;6,073874779;5,021315377;1,704421764;2,628907827;-2,928536905;3,342442061;-0,804431259;-14,15104255;0,144005322;-0,293542165;1,293439359;-1,481538912;-1,213309411;1,052216803;0,100281918;0,91325824;0,688233326;0,929356357;-28,79790068;-3,013494645;-1,34712059;-0,227054999;2,432530859;-1,308037972;1,126475073;1,055851606;-0,555218586;-0,337514842;-1,473763826;;-0,693906603;-0,249852464
20;-0,830224934;-0,878041091;0H;15060;15060;14835;-0,812346642;-0,279660594;-0,046634413;-0,116055102;0,363416527;-0,959362307;0,521854622;-0,341987396;0,678499094;0,091923744;1,236781031;0,547285862;-0,008621889;-0,77634326;-0,401404284;0,349171759;-1,030687783;-0,011459373;-0,01480293;0,067969042;1,824854509;-0,317363413;0,497462355;0,844275617;0,693718376;0,064943869;-0,540649136;0,566782849;-0,30394247;-0,320746705;0,144005322;-0,523669952;0,625790332;-1,042451471;-0,722771169;0,648523582;0,91330594;1,032029026;-0,943181941;-0,552382916;0,693718376;-1,271732825;0,098135177;0,303703656;0,899882002;0,41319916;1,365705101;0,364182441;-0,79282508;-0,681658894;-0,637042921;0,020813818;-0,693906603;-0,252536485
21;0,637025425;0,439660019;8H;14015;14015;13700;0,342523767;0,769814681;0,445324558;1,35468902;0,384467643;0,537521076;0,129680937;2,670994881;-0,104400018;1,145555788;-0,445803754;0,859118537;-0,017213083;0,840553132;0,625717124;0,46152641;0,205690342;0,715810364;2,807056914;-0,782282835;0,903567949;-0,040996045;-0,158586165;-1,121390152;1,355905547;-1,165459826;0,167655609;-1,019308129;-0,236485285;-1,222479496;0,144005322;-0,504554111;-0,059478029;-0,090981754;0,10867494;0,953128467;-1,891491661;-0,703061994;0,701480489;1,300921925;1,355905547;-0,330961143;-0,143599699;0,110249445;0,484317143;1,491902685;-1,49899474;-1,115348289;1,345797237;0,811801925;-0,573592646;3,34654157;1,473146985;-0,17584811
22;-0,146945088;-0,264406356;6H;13685;13685;13474;-0,966215064;0,122296066;1,874188325;-0,119797454;1,719709834;-1,006434112;0,909110224;11,7216251;1,203530205;0,279748931;1,334999609;1,653932462;-0,42597307;0,144029686;0,454436565;0,941446952;1,207071472;1,095872439;14,00199866;-0,349698547;-0,890516406;-0,37485538;4,105729218;3,54706605;-0,015820469;0,913959401;-2,103969003;-0,344523809;2,445882662;-0,213243619;1,503111133;-0,144577364;4,09381562;-3,233528845;-1,004378158;0,832020501;1,156706464;1,587571756;0,370130161;0,46875641;-0,015820469;-1,794259878;-1,703518056;-0,867602278;0,166618271;-2,394405757;1,087750587;0,195303302;-0,078625668;-0,579397004;-1,06561276;14,6831763;-0,693906603;-0,306552005
23;-0,941229916;-0,977730288;1H;13021;13021;12890;1,723435799;-0,885103691;2,463531666;-1,238760539;3,000820585;0,452791828;-1,266025752;3,648775881;-1,192795703;-1,471237792;-0,899370245;-0,300753966;-0,035142532;0,409011432;0,431861072;0,058279326;0,094705496;0,037525593;1,752409336;0,91822092;-0,939005172;-0,313417694;2,137583656;2,072816723;-0,486898522;2,488505694;-0,929484111;0,739184042;-0,634132616;0,771201413;1,503111133;-1,457226672;0,019048042;-0,269281458;1,688283761;-2,408694646;0,466920613;-0,730422202;-4,092143455;-3,579764619;-0,486898522;0,897803793;-1,145080742;-0,470887095;-1,018940953;-0,043225038;1,108584827;-0,696224259;-3,269489836;0,169568107;1,781422303;-0,221863395;-0,693906603;-0,248829357
24;-1,002650528;-1,03288902;6H;13947;13947;13725;-0,961899665;-1,124502244;0,707254931;-1,130232347;0,339358109;0,951752955;0,119917298;0,385710012;0,598578857;-0,002392932;-0,269771176;-0,620862039;0,728704739;0,459073101;0,910602944;-0,7558648;-0,936763933;-0,609622694;0,621694415;-0,782282835;0,903567949;-0,260372983;3,515285549;0,598567396;-0,331535042;-0,533065217;0,493306961;-0,506161048;-0,71226964;1,053358907;-1,215100489;-0,037623463;-1,261589444;1,840876543;-0,770491523;0,126097061;0,230868468;-0,540871393;-0,139734883;-0,643302281;-0,331535042;-1,331490842;0,34623069;2,606916852;0,098374278;0,35427013;0,733574933;0,594693922;-1,459183578;-1,470702893;-0,201691757;0,073876967;1,473146985;-0,304667839
25;0,129195459;3,324777282;1H;15089;14959;14913;0,586354472;0,97253272;3,539796854;1,204994962;3,603784683;-2,926963735;0,724336947;;0,520349779;-0,238806303;0,9551057;1,667531099;86,2092988;647,4980372;598,6725208;0,798678205;0,634911906;0,892419522;2,793862798;-0,782282835;1,824854509;-0,318717913;3,121656437;2,809941386;0,445414083;2,628907827;-0,136733715;-0,622785384;0,762316255;-14,15116649;-6,651523735;-0,685641426;0,80286759;-0,537828591;0,371276246;0,72192235;-1,241540191;-0,43522905;0,154163482;0,716694167;-29,3701769;0,115374536;-0,533052951;-0,207234137;0,22029003;-0,268713303;-0,149418409;-0,318325543;0,919580346;0,766476346;-0,264443955;;-0,693906603;-0,253809081
26;-0,756668044;-0,811979953;5H;13016;13009;12825;0,430360259;-0,807509079;1,409094009;-1,583056873;1,240045128;0,118582016;0,271902016;2,374473531;0,888289001;0,371598555;-0,201432823;-0,154145485;-0,282312797;-3,578921827;-3,038607898;-0,415840428;-1,562846842;-1,444194855;1,051226552;0,067969042;-0,939005172;-0,314179457;1,481535136;1,581400281;-0,692870567;-0,241535788;0,376643691;0,000321786;-0,226226819;-1,814427659;0,144005322;0,861174694;-0,002566653;-1,319310614;0,671392024;-0,934792688;-0,249135564;-1,261953308;0,082515917;-0,648855259;-0,692870567;0,936179364;0,354994297;-1,000457286;0,715474962;0,908198155;1,737233132;1,375838571;0,000991297;-0,520954698;0,843405339;-0,084728877;-0,693906603;-0,249545058
27;-0,814701282;-0,864102037;1H;13110;13110;12945;1,912698777;-0,71809987;2,411481399;-1,156428807;2,042994824;0,730515474;-1,388468942;1,466497057;-1,354379644;1,307187095;-1,131829037;-0,20731334;0,226204092;0,750481458;1,039982307;-0,362640315;0,272802305;-0,358724052;1,852664446;0,91822092;-0,939005172;-0,245636451;0,497462355;0,844275617;-0,666391437;2,120600104;-0,256368488;1,690263959;-1,479003105;0,547947418;1,503111133;-1,52145165;-0,322648422;-0,468885309;1,720692832;-2,409758396;0,290574075;-0,725550594;-3,672175035;-3,154122773;-0,666391437;1,236570095;-0,159487689;-0,272915034;-1,067305221;0,368161757;1,575341488;-0,481318221;-1,57037185;0,441375839;1,796530699;-0,065507427;-0,693906603;-0,185146738
28;1,20454318;0,949331758;6H;14975;14975;14658;2,679585378;-0,383991549;0,910418875;-0,374277353;1,097198272;-1,213550051;0,359903457;1,037169636;0,620843207;1,035689365;0,72236153;0,723444419;0,526609524;-0,039293342;0,279784342;0,475705554;0,914320764;0,427827437;0,696189222;0,067969042;-0,939005172;-0,315504053;1,153510876;1,335692059;-1,732383066;1,673588312;1,899489137;0,963305594;-0,118979222;0,623388608;1,503111133;-1,082864438;-1,070254755;-0,428830049;0,582030627;-1,601148641;0,735809756;0,274142285;0,442393865;-0,135688748;-1,732383066;1,850804735;-0,419541454;-0,032460765;-2,010874244;-1,093417428;1,408607019;-0,938766526;0,832567209;1,501644604;1,805306533;-0,039213142;-0,693906603;-0,250789557
29;-0,607734475;-0,678226883;8H;14345;14345;14096;0,047728584;-0,141982862;0,935604487;0,246952989;0,223576973;0,918802692;-1,049202694;0,287510423;-1,086042364;-0,795976804;-0,739086072;-0,922901429;-0,491447015;0,425344684;-0,354425758;-0,006290188;0,161108824;0,287537321;1,238487346;-1,632534712;-0,017718612;-0,025037565;-0,092981313;-1,121390152;-0,26993119;-0,398513173;-0,209476116;-0,22626264;0,370629376;-0,312284535;0,144005322;0,708596191;0,223462554;0,81639572;-0,050681408;0,391627896;-0,86384328;-0,712293239;0,320101632;0,380815687;-0,26993119;0,782994957;0,864453407;-0,492887745;-0,108617466;-0,289499797;-1,115907722;0,478697203;0,477140666;-0,056476821;-0,147391285;0,636790674;1,545382104;-0,170357629
30;-0,857739194;-0,097524307;6H;14506;14413;14272;-1,176487855;-0,972385468;8,338495618;-0,711088984;6,514853244;-2,649240089;-0,503536316;;-0,209401563;-0,626145119;0,248566486;0,777252851;76,50019196;647,7535501;579,9211904;0,360991373;0,136439646;0,699588321;16,5592821;-0,782282835;0,903567949;-0,423982498;15,91460258;12,39256201;1,876104629;-4,098694395;0,391275783;-0,22626264;-1,000274698;-14,15101617;-3,933312112;-0,242064103;-0,656914892;0,877736891;-1,13699792;0,171431594;1,024824648;0,437819947;-0,156796245;-0,434237255;-27,93948635;-0,480478992;0,529575604;0,947039629;0,702387318;0,770611365;0,807501702;0,368763032;-0,555218586;-1,382820822;-0,540409024;;-0,693906603;-0,352708485
